Fecha,Acción,Precio,Capital/Shares
2022-06-03,SELL,12012.73,8890.564905808898
2022-06-06,BUY,12061.37,0.737110701836433
2022-06-09,SELL,11754.23,8664.168724846855
2022-06-21,BUY,11069.3,0.7827205627137087
2022-06-22,SELL,11053.08,8651.472997319639
2022-06-23,BUY,11232.19,0.7702391962137071
2022-06-30,SELL,11028.74,8494.767832849959
2022-07-01,BUY,11127.85,0.7633790743809413
2022-07-12,SELL,11264.73,8599.25916055122
2022-07-15,BUY,11452.42,0.7508683021187854
2022-07-18,SELL,11360.05,8529.901455484507
2022-07-19,BUY,11713.15,0.7282329224405483
2022-07-22,SELL,11834.11,8617.988509782917
2022-07-25,BUY,11782.67,0.7314121934827096
2022-07-26,SELL,11562.57,8457.004685997374
2022-07-27,BUY,12032.42,0.7028515199766442
2022-07-29,SELL,12390.69,8708.815300059407
2022-08-02,BUY,12348.76,0.7052380400995247
2022-08-05,SELL,12657.55,8926.58575446174
2022-08-08,BUY,12644.46,0.7059681278964653
2022-08-11,SELL,12779.91,9022.209137385316
2022-08-22,BUY,12381.57,0.7286805419171654
2022-08-25,SELL,12639.27,9209.990113037371
2022-08-26,BUY,12141.71,0.7585414338703009
2022-09-09,SELL,12112.31,9187.688994881584
2022-09-19,BUY,11535.02,0.7965039501345974
2022-09-22,SELL,11066.81,8814.757880389063
2022-09-28,BUY,11051.64,0.7975972688568451
2022-09-29,SELL,10737.51,8564.208650323064
2022-09-30,BUY,10575.62,0.8098067678607083
2022-10-07,SELL,10652.4,8626.385613959408
2022-10-10,BUY,10542.1,0.8182796230314081
2022-10-11,SELL,10426.19,8531.538822853838
2022-10-13,BUY,10649.15,0.8011473988866565
2022-10-14,SELL,10321.39,8268.954751394747
2022-10-17,BUY,10675.8,0.7745512983940077
2022-10-27,SELL,10792.67,8359.476561638056
2022-10-28,BUY,11102.45,0.7529398071270805
2022-10-31,SELL,10988.15,8273.41554168343
2022-11-01,BUY,10890.85,0.7596666505996712
2022-11-02,SELL,10524.8,7995.339564231419
2022-11-07,BUY,10564.52,0.7568104906073744
2022-11-09,SELL,10353.17,7835.38766704155
2022-11-10,BUY,11114.15,0.7049920747013088
2022-11-16,SELL,11183.66,7884.391666154039
2022-11-17,BUY,11144.96,0.7074401044197592
2022-11-21,SELL,11024.51,7799.18050557668
2022-11-22,BUY,11174.41,0.697950093613594
2022-11-29,SELL,10983.78,7666.130279231122
2022-11-30,BUY,11468.0,0.6684801429395816
2022-12-15,SELL,10810.53,7226.624639652635
2022-12-21,BUY,10709.37,0.6747945621126765
2022-12-27,SELL,10353.23,6986.303304301826
2022-12-29,BUY,10478.09,0.6667535117852419
2022-12-30,SELL,10466.48,6978.562296029998
2023-01-03,BUY,10386.98,0.6718567183175473
2023-01-13,SELL,11079.16,7443.608079315038
2023-01-19,BUY,10852.27,0.6859033252319595
2023-01-20,SELL,11140.43,7641.257981513879
2023-01-23,BUY,11364.41,0.6723849264074315
2023-01-24,SELL,11334.27,7620.992299831959
2023-02-22,BUY,11507.07,0.6622878195606665
2023-02-23,SELL,11590.4,7676.180743835949
2023-02-24,BUY,11394.94,0.6736481933064983
2023-02-27,SELL,11466.98,7724.71035968175
2023-03-01,BUY,11379.48,0.6788280624142535
2023-03-03,SELL,11689.01,7934.828009840834
2023-03-09,BUY,11338.35,0.6998221090229914
2023-03-16,SELL,11717.28,8200.011601612916
2023-04-26,BUY,11854.35,0.691730175135112
2023-04-27,SELL,12142.24,8399.153801732562
2023-05-04,BUY,11966.4,0.701894788886596
2023-05-05,SELL,12235.41,8587.970518890945
2023-08-11,BUY,13644.85,0.629392812591633
2023-08-14,SELL,13788.33,8678.275799641591
2023-08-16,BUY,13474.63,0.6440455730243867
2023-08-23,SELL,13721.03,8836.9686288348
2023-08-28,BUY,13705.13,0.6447927621872103
2023-08-30,SELL,14019.31,9039.549618858779
2023-09-01,BUY,14031.81,0.6442183594888171
2023-09-05,SELL,14020.95,9032.55340747473
2023-09-07,BUY,13748.83,0.656968877168074
2023-09-11,SELL,13917.89,9143.620565848765
2023-09-13,BUY,13813.59,0.661929343917748
2023-09-14,SELL,13926.05,9218.061139865755
2023-09-15,BUY,13708.33,0.6724423135324109
2023-09-26,SELL,13063.61,8784.52413148514
2023-09-27,BUY,13092.85,0.6709405615649106
2023-10-03,SELL,13059.47,8762.128135540102
2023-10-04,BUY,13236.01,0.6619916527367463
2023-10-05,SELL,13219.83,8751.41711059882
2023-10-06,BUY,13431.34,0.6515669404987753
2023-10-12,SELL,13574.22,8844.512995057285
2023-10-16,BUY,13567.98,0.6518666002645408
2023-10-17,SELL,13533.75,8822.199601330229
2023-10-26,BUY,12595.61,0.7004186062707743
2023-10-27,SELL,12643.01,8855.399443267463
2023-11-01,BUY,13061.47,0.6779787759928602
2023-11-09,SELL,13521.45,9167.256120648659
2023-11-10,BUY,13798.11,0.6643849136330018
2023-11-17,SELL,14125.48,9384.755809824694
2024-04-15,BUY,15885.02,0.5907928230386045
2024-04-26,SELL,15927.9,9410.089006076589
2024-04-29,BUY,15983.08,0.5887531693563812
2024-04-30,SELL,15657.82,9218.591150211732
2024-05-02,BUY,15840.96,0.5819464950490205
2024-05-07,SELL,16332.56,9504.67604717783
2024-05-08,BUY,16302.76,0.5830102416509738
2024-05-09,SELL,16346.26,9530.036992689647
2024-07-25,BUY,17181.72,0.554661407163523
2024-07-31,SELL,17599.4,9761.707969233707
2024-08-01,BUY,17194.15,0.5677342566648369
2024-08-05,SELL,16200.08,9197.34037671089
2024-08-07,BUY,16195.81,0.5678839389145026
2024-08-21,SELL,17918.99,10175.906622569584
2024-08-22,BUY,17619.35,0.5775415450949998
2024-08-23,SELL,17877.79,10325.166459483937
2024-08-26,BUY,17725.76,0.5824949936975304
2024-09-06,SELL,16690.83,9722.324915656553
2024-09-09,BUY,16884.6,0.5758102007543295
2024-09-13,SELL,17683.98,10182.616073935547
2024-09-16,BUY,17592.13,0.5788165545579499
2024-09-17,SELL,17628.06,10203.412952740815
2024-09-20,BUY,17948.32,0.5684884687113231
2024-09-23,SELL,17974.27,10218.165228503873
2024-09-25,BUY,18082.21,0.5650949318973661
2024-09-26,SELL,18190.29,10279.24068874334
2024-10-03,BUY,17918.48,0.573667001260338
2024-10-04,SELL,18137.85,10405.086018809821
2024-11-04,BUY,18179.98,0.5723375943653305
2024-11-05,SELL,18439.17,10553.43019989337
2025-01-02,BUY,19280.79,0.547354657142854
2025-01-03,SELL,19621.68,10740.017928966796
2025-01-10,BUY,19161.63,0.5604960501255266
2025-01-15,SELL,19511.23,10935.967348090679
2025-01-29,BUY,19632.32,0.5570389718632682
2025-01-30,SELL,19681.75,10963.50178446988
2025-02-03,BUY,19391.96,0.5653632631497734
2025-02-04,SELL,19654.02,11111.66088121091
2025-02-11,BUY,19643.86,0.5656556746592019
2025-02-12,SELL,19649.95,11115.105724269584
2025-02-24,BUY,19286.92,0.5763027857361147
2025-02-27,SELL,18544.42,10687.20090586052
