Date,Open,High,Low,Close,GDP,Unemployment Rate,Interest Rate,M2 Money Supply,Inflation
1992-09-04,574.62,574.95,572.64,573.44,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-08,573.44,573.44,569.48,571.17,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-09,571.26,575.18,570.88,574.89,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-10,575.18,581.32,574.86,581.24,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-11,581.36,584.05,581.01,583.01,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-14,586.15,594.27,583.01,594.21,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-15,592.53,594.21,586.37,587.86,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-16,585.04,588.12,582.06,585.89,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-17,587.82,589.34,585.89,587.82,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-18,588.05,589.15,586.47,589.12,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-21,588.66,589.31,586.49,588.58,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-22,588.86,589.04,582.25,583.0,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-23,583.43,583.44,580.23,582.92,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-24,583.81,586.16,582.96,585.93,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-25,586.08,586.63,574.67,577.2,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-28,575.63,577.2,573.01,575.34,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-29,575.68,577.83,574.63,577.63,6566.641,7.6,3.5,3410.3,3.349237754
1992-09-30,577.63,583.32,577.63,583.27,6566.641,7.6,3.5,3410.3,3.349237754
1992-10-01,582.48,583.27,577.77,578.33,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-02,578.04,578.33,571.34,571.63,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-05,569.21,571.64,551.64,565.21,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-06,566.86,571.34,565.21,570.55,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-07,571.14,573.82,568.73,569.2,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-08,570.46,574.6,569.2,573.88,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-09,574.01,574.36,569.45,570.52,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-12,570.87,574.01,570.49,573.84,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-13,575.04,577.85,573.84,576.44,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-14,576.45,578.39,574.74,576.22,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-15,575.36,578.89,573.8,578.64,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-16,579.02,582.69,577.61,582.61,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-19,582.99,590.85,582.29,590.67,6680.803,7.3,3.5,3423.8,3.6359146
